,sub_smiles,0,
1,[10*]N1C(=O)c2ccc([16*])cc2C1=O,235,485
2,[16*]c1ccc([16*])cc1,206,224
4,[3*]O[3*],203,311
6,[16*]c1cccc([16*])c1,97,97
7,*c1cccc2c1C(=O)N([10*])C2=O,72,114
8,*C([8*])(C(F)(F)F)C(F)(F)F,55,80
9,*C([6*])=O,51,88
11,[16*]c1ccc([16*])c([16*])c1,41,54
13,[8*]C(F)(F)F,37,37
14,[8*]C[8*],36,36
15,[16*]c1ccc(C)cc1,35,35
18,*n1c(=O)c2cc3c(=O)n([9*])c(=O)c3cc2c1=O,22,31
19,[8*]C([8*])(C)C,20,20
21,*S[11*],16,25
22,[16*]c1ccc([16*])c(C)c1,14,27
24,[16*]c1ccccc1[16*],12,12
