,sub_smiles,count,在前30中比例,占所有比例
1,[5*]N[5*],38026,14.38%,12.75%
2,[16*]c1ccccc1,30694,11.61%,10.29%
3,[1*]C([6*])=O,30379,11.49%,10.19%
4,*c1ccc([16*])cc1,19539,7.39%,6.55%
5,*N1C(=O)c2ccc([16*])cc2C1=O,13677,5.17%,4.59%
6,[5*]N([5*])[5*],13328,5.04%,4.47%
7,*N1C(=O)[C@@H]2[C@H](C1=O)C1([15*])C=CC2([15*])[C@H]2C(=O)N([10*])C(=O)[C@H]21,9651,3.65%,3.24%
8,[8*]C[8*],9247,3.50%,3.10%
9,[14*]c1c([16*])cnn1C,8658,3.27%,2.90%
10,*N1C(=O)[C@@H]2[C@H](C1=O)C1([15*])C(C)=CC2([15*])[C@H]2C(=O)N([10*])C(=O)[C@H]21,7338,2.77%,2.46%
11,[14*]c1cccs1,7007,2.65%,2.35%
12,[4*]C([8*])[8*],6456,2.44%,2.17%
13,[3*]O[3*],5632,2.13%,1.89%
14,[10*]N1C(=O)c2cccc([16*])c2C1=O,4978,1.88%,1.67%
15,*N1C(=O)c2ccc3c4c([16*])cc5c6c(ccc(c7c([16*])cc(c2c37)C1=O)c64)C(=O)N([10*])C5=O,4746,1.79%,1.59%
16,*c1ccccc1[16*],4106,1.55%,1.38%
17,[14*]c1ccco1,4022,1.52%,1.35%
18,*N1C(=O)c2cnc3c4ncc5c6c(cnc(c7ncc(c2c37)C1=O)c64)C(=O)N([10*])C5=O,3574,1.35%,1.20%
19,[6*]C(=O)O,3378,1.28%,1.13%
20,[7*]CC(=O)O,3367,1.27%,1.13%
21,[4*]C([8*])C[8*],3238,1.22%,1.09%
22,*C[8*],3206,1.21%,1.08%
23,*N1C(=O)[C@@H]2[C@H](C1=O)C1([15*])C=CC2(C)[C@H]2C(=O)N([10*])C(=O)[C@H]21,2886,1.09%,0.97%
24,*N1C(=O)c2ccc3c4ccc5c6c(cnc(c7ncc(c2c37)C1=O)c64)C(=O)N([10*])C5=O,2857,1.08%,0.96%
25,[3*]OC,2797,1.06%,0.94%
26,[5*]N(C)C,2392,0.90%,0.80%
27,[16*]c1ccc(C)cc1,2365,0.89%,0.79%
28,*N1C(=O)c2ccc3c4c(c(Br)cc(c24)C1=O)C(=O)N([10*])C3=O,2191,0.83%,0.73%
29,*N1C(=O)c2cc(Br)c3c4c(cc(Br)c(c24)C1=O)C(=O)N([10*])C3=O,2117,0.80%,0.71%
