,,sub_smiles,0,,
1,1,[3*]O[3*],134,215,34.35%
2,3,[16*]c1ccc([16*])cc1,65,105,16.77%
3,4,*CC(*)[8*],52,70,11.18%
4,6,[1*]C([1*])=O,25,63,10.06%
5,11,*N[5*],16,27,4.31%
6,10,[16*]c1cccc([16*])c1,18,26,4.15%
7,12,[10*]N1C(=O)c2ccc([16*])cc2C1=O,16,26,4.15%
8,7,*CC(*)(C)C([1*])=O,20,20,3.19%
9,19,*CC[7*],9,18,2.88%
10,22,*C[8*],9,15,2.40%
11,16,[8*]C([8*])(C)C,12,12,1.92%
12,24,[4*]CCCC,7,7,1.12%
13,27,*CC(*)(Cl)C([1*])=O,6,6,0.96%
14,28,[11*]S[11*],6,6,0.96%
15,29,[4*]CCCCCC,5,5,0.80%
16,30,[4*]CCC,5,5,0.80%
,,,,626,
