,Smiles,pred_new
1,*c1cccc(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(*)C4=O)c1C,367.41678
2,*c1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,350.72488
3,*c1cccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,365.61154
6,*c1cccc(N2C(=O)c3cc(Cl)c4c5c(Cl)cc6c7c(cc(Cl)c(c8c(Cl)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,370.96426
15,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3ccccc3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,384.54993
16,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C(C)=CC3(c3ccccc3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,379.24246
21,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3ccco3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,384.68118
22,*c1cccc(N(C(=O)c2ccccc2C(=O)O)C(=O)c2ccccc2C(=O)N(*)C(=O)c2ccccc2C(=O)O)c1C,359.42844
23,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=C(C(C)=O)C3(C)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,378.49533
31,*c1cccc(N2C(=O)c3ccc4c5c(N(c6ccccc6)c6ccccc6)cc6c7c(ccc(c8c(N(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,353.7432
35,*c1cccc(N2C(=O)c3ccc4c5c(Br)cc6c7c(cc(Br)c(c8ccc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,367.2
37,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(C)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,385.0095
39,*c1cccc(N2C(=O)c3cc(Br)c4c5c(Br)cc6c7c(cc(Br)c(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,372.4091
41,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C(C(F)(F)F)(C(F)(F)F)c2cc3c(cc2O4)C(=O)N(*)C3=O)c1C,379.09946
44,*c1cccc(N2C(=O)c3ccc(N=Nc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,367.92975
61,*c1cccc(N2C(=O)c3ccc4c5ccc6c7c(cnc(c8ncc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,386.91867
64,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2(C)c3ccccc3C4(C)c3cc4c(cc32)C(=O)N(*)C4=O)c1C,366.4484
71,*c1cccc(N2C(=O)c3ccc4c5c(-n6c7ccccc7c7ccccc76)cc6c7c(ccc(c8c(-n9c%10ccccc%10c%10ccccc%109)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,369.2901
75,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C(C)=CC3(c3cccs3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,380.0461
80,*c1cccc(N2C(=O)c3ccc4c5c(N(C)C)cc6c7c(ccc(c8c(N(C)C)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,368.06665
83,*c1cccc(N2C(=O)c3ccc4c5c(C#CC(c6ccccc6)(c6ccccc6)c6ccccc6)cc6c7c(ccc(c8c(C#CC(c9ccccc9)(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,357.31586
89,*c1cccc(N2C(=O)c3cc(C#CC(c4ccccc4)(c4ccccc4)c4ccccc4)c4c5ccc6c7c(ccc(c8c(C#CC(c9ccccc9)(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,357.03424
91,*c1cccc(N2C(=O)c3cc4c(cc3C2=O)C2(C(C)C)c3ccccc3C4(C(C)C)c3cc4c(cc32)C(=O)N(*)C4=O)c1C,376.6619
94,*c1cccc(N2C(=O)c3ccc4c5c(Br)cc6c7c(cc(Br)c(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,368.14365
95,*c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3cccs3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1C,385.22183
112,*c1cccc(N2C(=O)c3ccc4c5c(-c6ccc([N+](=O)[O-])cc6)cc6c7c(ccc(c8c(-c9ccc([N+](=O)[O-])cc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,357.24686
113,*c1cccc(N2C(=O)c3cnc4c5ncc6c7c(cnc(c8ncc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,398.5933
116,*c1cccc(N(C(=O)C=CC(=O)O)C(=O)c2cc(C(=O)N(*)C(=O)C=CC(=O)O)c(C(=O)O)cc2C(=O)O)c1C,365.9254
120,*c1cccc(N2C(=O)c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,359.35147
134,*c1cccc(N2C(=O)c3c(Br)c(Br)c4c5c(Br)c(Br)c6c7c(c(Br)c(Br)c(c8c(Br)c(Br)c(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,362.43246
144,*c1cccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,368.21634
145,*c1cccc(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,366.82712
149,*c1cccc(N2C(=O)c3cccc(-c4ccc5c(c4)C(=O)N(*)C5=O)c3C2=O)c1C,365.95624
160,*c1cccc(N2C(=O)c3ccc4c5c(Br)cc6c7c(ccc(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1C,367.0112
162,*c1cccc(N2C(=O)c3cccc(-c4cccc5c4C(=O)N(*)C5=O)c3C2=O)c1C,362.67612
167,*c1cccc(N2C(=O)c3ccc4c5c(cc(Br)c(c35)C2=O)C(=O)N(*)C4=O)c1C,377.7609
170,*c1cccc(N2C(=O)c3ccc([13C](=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,350.72488
171,*c1cccc(N2C(=O)c3cc(Oc4ccccc4C)c(-c4cc5c(cc4Oc4ccccc4C)C(=O)N(*)C5=O)cc3C2=O)c1C,350.57486
177,*c1cccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,350.88657
183,*c1cccc(N2C(=O)c3cc(Br)c4c5c(cc(Br)c(c35)C2=O)C(=O)N(*)C4=O)c1C,378.30606
186,*c1cccc(N2C(=O)c3cccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)c3C2=O)c1C,357.91653
200,*c1ccc(-c2ccc(N3C(=O)c4cc(Cl)c5c6c(Cl)cc7c8c(cc(Cl)c(c9c(Cl)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,351.43842
209,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4ccccc4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,361.60922
210,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C(C)=CC4(c4ccccc4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,356.47855
215,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4ccco4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,361.80243
217,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=C(C(C)=O)C4(C)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,358.44818
229,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(Br)cc7c8c(cc(Br)c(c9ccc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,354.05576
231,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(C)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,362.89108
233,*c1ccc(-c2ccc(N3C(=O)c4cc(Br)c5c6c(Br)cc7c8c(cc(Br)c(c9c(Br)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,353.4565
235,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)c(OC)c2)cc1OC,356.1084
255,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6ccc7c8c(cnc(c9ncc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,371.7175
269,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C(C)=CC4(c4cccs4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,357.57095
285,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)c(OC)c2)cc1OC,351.83774
288,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(Br)cc7c8c(cc(Br)c(c9c(Br)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,352.92288
289,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4cccs4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(OC)c2)cc1OC,362.43237
307,*c1ccc(-c2ccc(N3C(=O)c4cnc5c6ncc7c8c(cnc(c9ncc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,383.7221
328,*c1ccc(-c2ccc(N3C(=O)c4c(Br)c(Br)c5c6c(Br)c(Br)c7c8c(c(Br)c(Br)c(c9c(Br)c(Br)c(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,352.99417
354,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(Br)cc7c8c(ccc(c9c(Br)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(OC)c2)cc1OC,352.41257
361,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(cc(Br)c(c46)C3=O)C(=O)N(*)C5=O)c(OC)c2)cc1OC,358.87433
377,*c1ccc(-c2ccc(N3C(=O)c4cc(Br)c5c6c(cc(Br)c(c46)C3=O)C(=O)N(*)C5=O)c(OC)c2)cc1OC,358.74753
389,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(ccc(c46)C3=O)C(=O)N(*)C5=O)c(C)c2)cc1C,381.2786
390,*c1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,354.17786
391,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,378.7003
394,*c1ccc(-c2ccc(N3C(=O)c4cc(Cl)c5c6c(Cl)cc7c8c(cc(Cl)c(c9c(Cl)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,390.02756
403,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4ccccc4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,395.09872
404,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C(C)=CC4(c4ccccc4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,390.04868
409,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4ccco4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,395.2919
410,*c1ccc(-c2ccc(N(C(=O)c3ccccc3C(=O)O)C(=O)c3ccccc3C(=O)N(*)C(=O)c3ccccc3C(=O)O)c(C)c2)cc1C,364.08627
411,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=C(C(C)=O)C4(C)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,388.11887
419,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(N(c7ccccc7)c7ccccc7)cc7c8c(ccc(c9c(N(c%10ccccc%10)c%10ccccc%10)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,351.28085
423,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(Br)cc7c8c(cc(Br)c(c9ccc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,387.9387
425,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(C)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,395.69748
427,*c1ccc(-c2ccc(N3C(=O)c4cc(Br)c5c6c(Br)cc7c8c(cc(Br)c(c9c(Br)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,392.0591
429,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)c(C)c2)cc1C,384.10767
432,*c1ccc(-c2ccc(N3C(=O)c4ccc(N=Nc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,378.24164
449,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6ccc7c8c(cnc(c9ncc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,404.27313
450,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C)(C)CC3(CC(C)(C)c4cc6c(cc4O3)C(=O)N(*)C6=O)O5)c(C)c2)cc1C,351.62674
452,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccccc4C5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c(C)c2)cc1C,363.5187
459,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(-n7c8ccccc8c8ccccc87)cc7c8c(ccc(c9c(-n%10c%11ccccc%11c%11ccccc%11%10)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,370.16556
463,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C(C)=CC4(c4cccs4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,391.14194
468,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(N(C)C)cc7c8c(ccc(c9c(N(C)C)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,382.85312
471,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(C#CC(c7ccccc7)(c7ccccc7)c7ccccc7)cc7c8c(ccc(c9c(C#CC(c%10ccccc%10)(c%10ccccc%10)c%10ccccc%10)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,358.22836
477,*c1ccc(-c2ccc(N3C(=O)c4cc(C#CC(c5ccccc5)(c5ccccc5)c5ccccc5)c5c6ccc7c8c(ccc(c9c(C#CC(c%10ccccc%10)(c%10ccccc%10)c%10ccccc%10)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,358.37253
479,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)c(C)c2)cc1C,378.50082
482,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(Br)cc7c8c(cc(Br)c(c9c(Br)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,387.57138
483,*c1ccc(-c2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4cccs4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)c(C)c2)cc1C,395.9229
500,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(-c7ccc([N+](=O)[O-])cc7)cc7c8c(ccc(c9c(-c%10ccc([N+](=O)[O-])cc%10)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,370.28244
501,*c1ccc(-c2ccc(N3C(=O)c4cnc5c6ncc7c8c(cnc(c9ncc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,418.18307
504,*c1ccc(-c2ccc(N(C(=O)C=CC(=O)O)C(=O)c3cc(C(=O)N(*)C(=O)C=CC(=O)O)c(C(=O)O)cc3C(=O)O)c(C)c2)cc1C,379.2379
508,*c1ccc(-c2ccc(N3C(=O)c4ccc([Si](c5ccccc5)(c5ccccc5)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,359.54886
522,*c1ccc(-c2ccc(N3C(=O)c4c(Br)c(Br)c5c6c(Br)c(Br)c7c8c(c(Br)c(Br)c(c9c(Br)c(Br)c(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,390.5549
532,*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,378.45132
533,*c1ccc(-c2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,368.10876
537,*c1ccc(-c2ccc(N3C(=O)c4cccc(-c5ccc6c(c5)C(=O)N(*)C6=O)c4C3=O)c(C)c2)cc1C,373.8577
548,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(Br)cc7c8c(ccc(c9c(Br)cc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c(C)c2)cc1C,386.41544
550,*c1ccc(-c2ccc(N3C(=O)c4cccc(-c5cccc6c5C(=O)N(*)C6=O)c4C3=O)c(C)c2)cc1C,379.58875
555,*c1ccc(-c2ccc(N3C(=O)c4ccc5c6c(cc(Br)c(c46)C3=O)C(=O)N(*)C5=O)c(C)c2)cc1C,397.91458
558,*c1ccc(-c2ccc(N3C(=O)c4ccc([13C](=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,354.17786
565,*c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,353.15897
571,*c1ccc(-c2ccc(N3C(=O)c4cc(Br)c5c6c(cc(Br)c(c46)C3=O)C(=O)N(*)C5=O)c(C)c2)cc1C,397.63684
574,*c1ccc(-c2ccc(N3C(=O)c4cccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)c4C3=O)c(C)c2)cc1C,364.27798
597,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4ccccc4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,365.57047
598,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C(C)=CC4(c4ccccc4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,360.4757
603,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4ccco4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,365.54434
605,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=C(C(C)=O)C4(C)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,353.29538
619,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(C)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,357.46823
623,*c1ccc(Cc2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)cc1,350.17578
657,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C(C)=CC4(c4cccs4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,360.4962
673,*c1ccc(Cc2ccc(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)cc2)cc1,361.15842
677,*c1ccc(Cc2ccc(N3C(=O)[C@H]4[C@@H](C3=O)C3(NC(=O)c5ccccc5)C=CC4(c4cccs4)[C@@H]4C(=O)N(*)C(=O)[C@@H]43)cc2)cc1,365.53656
777,*c1ccc(C)c(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(*)C4=O)c1,382.31815
778,*c1ccc(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1,354.46313
779,*c1ccc(C)c(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,379.53098
782,*c1ccc(C)c(N2C(=O)c3cc(Cl)c4c5c(Cl)cc6c7c(cc(Cl)c(c8c(Cl)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,390.4502
791,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3ccccc3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,395.1103
792,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C(C)=CC3(c3ccccc3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,390.2708
797,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3ccco3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,395.3032
798,*c1ccc(C)c(N(C(=O)c2ccccc2C(=O)O)C(=O)c2ccccc2C(=O)N(*)C(=O)c2ccccc2C(=O)O)c1,364.4279
799,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=C(C(C)=O)C3(C)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,388.3593
804,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=C4CCCCCC43[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,351.12924
807,*c1ccc(C)c(N2C(=O)c3ccc4c5c(N(c6ccccc6)c6ccccc6)cc6c7c(ccc(c8c(N(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,351.25394
811,*c1ccc(C)c(N2C(=O)c3ccc4c5c(Br)cc6c7c(cc(Br)c(c8ccc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,388.04703
813,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(C)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,395.7198
815,*c1ccc(C)c(N2C(=O)c3cc(Br)c4c5c(Br)cc6c7c(cc(Br)c(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,392.47556
817,*c1ccc(C)c(N2C(=O)c3cc4c(cc3C2=O)C(C(F)(F)F)(C(F)(F)F)c2cc3c(cc2O4)C(=O)N(*)C3=O)c1,388.543
820,*c1ccc(C)c(N2C(=O)c3ccc(N=Nc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1,379.38498
837,*c1ccc(C)c(N2C(=O)c3ccc4c5ccc6c7c(cnc(c8ncc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,404.84125
838,*c1ccc(C)c(N2C(=O)c3cc4c(cc3C2=O)C(C)(C)CC2(CC(C)(C)c3cc5c(cc3O2)C(=O)N(*)C5=O)O4)c1,353.25418
840,*c1ccc(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(C)c3ccccc3C4(C)c3cc4c(cc32)C(=O)N(*)C4=O)c1,368.19348
847,*c1ccc(C)c(N2C(=O)c3ccc4c5c(-n6c7ccccc7c7ccccc76)cc6c7c(ccc(c8c(-n9c%10ccccc%10c%10ccccc%109)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,370.11826
851,*c1ccc(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C(C)=CC3(c3cccs3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c1,391.28824
856,*c1ccc(C)c(N2C(=O)c3ccc4c5c(N(C)C)cc6c7c(ccc(c8c(N(C)C)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c1,383.2449
